rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	4	4	0.3930966146506288	-98.28511772153915	0.9999999999999999	24.833884649422565	C27H52O8	[M - H4O2 - H]-	ZHEGLTRCODOIQP	InChI=1S/C27H52O8/c1-2-3-4-5-6-7-8-10-13-16-21(28)23(30)19-25(32)26(33)20-24(31)22(29)17-14-11-9-12-15-18-27(34)35/h10,13,21-26,28-33H,2-9,11-12,14-20H2,1H3,(H,34,35)	Hydroxy fatty acids	CCCCCCCCC=CCC(O)C(O)CC(O)C(O)CC(O)C(O)CCCCCCCC(=O)O	5.071765774225346	""	2304_LOTUS_DNP:(Hydroxy fatty acids)	0	467.3375244140625	346.812	297_2211_297
12	1	1	2	0.38238751657939973	-445.527297261801	0.0221105527638191	23.9489372659241	C34H40N4O6	[M - H]-	QTKXLHIVFZPNBG	InChI=1S/C34H40N4O6/c1-8-21-20(6)33(42)38-28(21)15-26-18(4)23(10-12-31(39)40)29(36-26)16-30-24(11-13-32(41)44-7)19(5)25(35-30)14-27-17(3)22(9-2)34(43)37-27/h8-9,15-16,20,27,35-36H,2,10-14H2,1,3-7H3,(H,37,43)(H,39,40)	Aplysioviolin	CC=C1C(C(=O)N=C1C=C2C(=C(C(=CC3=C(C(=C(N3)CC4C(=C(C(=O)N4)C=C)C)C)CCC(=O)OC)N2)CCC(=O)O)C)C	2.5999999	10371382;21776832;54608972;101146591;101146592;131874166	COCONUT:(CNP0130719);Natural Products:(UNPD24186);PubChem:(10371382 21776832 54608972 101146591 101146592 131874166);KEGG Mine	8592064514	599.2899169921875	382.411	372_2211_372
13	1	1	1	0.3801276020658653	-189.406002279079	0.9999999999999999	28.19507037049403	C29H49NO4	[M + CH2O2 - H]-	WPOPXDVTRVDMCA	InChI=1S/C29H49NO4/c1-18(6-9-26(33)30-17-21-5-4-14-34-21)22-7-8-23-27-24(11-13-29(22,23)3)28(2)12-10-20(31)15-19(28)16-25(27)32/h18-25,27,31-32H,4-17H2,1-3H3,(H,30,33)	null	CC(CCC(=O)NCC1CCCO1)C2CCC3C2(CCC4C3C(CC5C4(CCC(C5)O)C)O)C	5.0999999	49652696;75269595;95369706;95369707;133141942	COCONUT:(CNP0397768);PubChem:(49652696 75269595 95369706 95369707 133141942);SuperNatural:(SN00106104 SN00106105);ZINC bio:(ZINC70666032 ZINC70666033)	3153922	520.3640747070312	391.548	392_2211_392
14	1	1	2	0.37274458097047475	-192.6477565399136	0.9261306532663316	33.46431457979418	C20H30O6S	[M - H]-	XQLPUWHKBGVFNW	InChI=1S/C20H30O6S/c1-18(11-12-26-27(23,24)25)10-7-15-14(13-18)5-6-16-19(15,2)8-4-9-20(16,3)17(21)22/h5-6,13,15-16H,4,7-12H2,1-3H3,(H,21,22)(H,23,24,25)	null	CC1(CCC2C(=C1)C=CC3C2(CCCC3(C)C(=O)O)C)CCOS(=O)(=O)O	3.33310771	""	COCONUT:(CNP0234693);Natural Products:(UNPD130256 UNPD178040);SuperNatural:(SN00308039);2304_LOTUS_DNP:(Pimarane and Isopimarane diterpenoids)	3178496	397.1681213378906	288.624	214_2211_214
15	1	1	1	0.36259412290664944	-7.111109948338532	0.9999999999999999	21.889768509020115	C14H28O3	[M - H]-	JYZJYKOZGGEXSX	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)	2-hydroxymyristate	CCCCCCCCCCCCC(C(=O)O)O	5.30000019	1563;656737;22292715;22298950;53982154;91825664	HMDB:(2261);SuperNatural:(SN00330658);ZINC bio:(ZINC01538404 ZINC02036092);MeSH:(1563 22292715);PubMed;2304_LOTUS_DNP:(α-hydroxy myristic acid);NORMAN:(NS00045202);COCONUT:(CNP0115920);Natural Products:(UNPD23471);PubChem:(1563 656737 22292715 22298950 53982154 91825664);YMDB Mine;CHEBI:(84335 59270 85637 85636 34314 85937 85934);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C13790);Training Set;Biocyc:(CPD-8471)	51559852398	243.1960906982422	291.715	218_2211_218
16	1	3	3	0.3549079811508065	-174.6313427539815	0.7356783919597989	5.623647652103584	C19H22N4O3	[M - H]-	RZPJYXQBFWXNQH	InChI=1S/C19H22N4O3/c1-10(9-24)20-18(25)12(3)22-19(26)16-8-14-13-6-4-5-7-15(13)23-17(14)11(2)21-16/h4-8,10,12,23-24H,9H2,1-3H3,(H,20,25)(H,22,26)	N-[1-(1-hydroxypropan-2-ylamino)-1-oxopropan-2-yl]-1-methyl-9H-pyrido[3,4-b]indole-3-carboxamide	CC1=C2C(=CC(=N1)C(=O)NC(C)C(=O)NC(C)CO)C3=CC=CC=C3N2	1.79999995	7094018;6216989	COCONUT:(CNP0217123);PubChem:(7094018 6216989);ZINC bio:(ZINC08490851)	2105346	353.16351318359375	374.311	356_2211_356
17	1	1	1	0.3462103929096996	-262.03430083739926	0.9999999999999999	29.65132901109262	C26H51NO5	[M - H]-	PGYLYGLYGRZSNC	InChI=1S/C26H51NO5/c1-3-5-7-9-11-12-14-15-17-19-23(29)26(32)25(31)22(21-28)27-24(30)20-18-16-13-10-8-6-4-2/h13,16,22-23,25-26,28-29,31-32H,3-12,14-15,17-21H2,1-2H3,(H,27,30)	null	CCCCCCCCCCCC(C(C(C(CO)NC(=O)CCC=CCCCCC)O)O)O	6.0	90766634	COCONUT:(CNP0283490);Natural Products:(UNPD117209);PubChem:(90766634);SuperNatural:(SN00333814);PubMed;2304_LOTUS_DNP	3178562	456.3691101074219	449.52	489_2211_489
18	1	2	2	0.3456932345743814	-102.13978917073293	0.9999999999999999	65.41105428093483	C28H36N4O4	[M + CH2O2 - H]-	OWKLJRMFTXDULF	InChI=1S/C28H36N4O4/c1-17(2)23-27(35)30-21(15-19-11-7-5-8-12-19)25(33)29-22(16-20-13-9-6-10-14-20)26(34)31-24(18(3)4)28(36)32-23/h5-14,17-18,21-24H,15-16H2,1-4H3,(H,29,33)(H,30,35)(H,31,34)(H,32,36)	3,6-dibenzyl-9,12-di(propan-2-yl)-1,4,7,10-tetrazacyclododecane-2,5,8,11-tetrone	CC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CC3=CC=CC=C3)C(C)C	4.0999999	424453;102067229	PubChem:(424453 102067229);2304_LOTUS_DNP:(Cyclic peptides)	2	537.2716674804688	233.477	156_2211_156
19	1	1	1	0.30701300080751204	-657.8497642744317	0.9999999999999999	27.42915419803425	C29H30N2O7S2	[M - H]-	DCDQBIQRLOCMAZ	InChI=1S/C29H30N2O7S2/c1-30-26(34)29(40-4)16-20-17-37-13-12-23(38-25(33)19-10-11-22(36-2)21(32)14-19)24(20)31(29)27(35)28(30,39-3)15-18-8-6-5-7-9-18/h5-14,17,23-24,32H,15-16H2,1-4H3	null	CN1C(=O)C2(CC3=COC=CC(C3N2C(=O)C1(CC4=CC=CC=C4)SC)OC(=O)C5=CC(=C(C=C5)OC)O)SC	3.4000001	132525255	PubChem:(132525255);PubMed;2304_LOTUS_DNP:(Thiodiketopiperazine alkaloids)	66	581.140625	368.687	340_2211_340
20	1	4	4	0.30176413625599013	-16.772764009245275	0.9999999999999999	28.34882159541713	C11H18O5	[M - H]-	DHVXMTMJTVCPBB	InChI=1S/C11H18O5/c1-8(10(13)14)9(11(15)16)6-4-2-3-5-7-12/h9,12H,1-7H2,(H,13,14)(H,15,16)	null	C=C(C(CCCCCCO)C(=O)O)C(=O)O	1.39999998	10443834;26088033;23872059	COCONUT:(CNP0052571 CNP0247302);Natural Products:(UNPD44488);PubChem:(10443834 26088033 23872059);SuperNatural:(SN00020611 SN00300393 SN00020612);ZINC bio:(ZINC14454763 ZINC14454764);additional;Training Set;2304_LOTUS_DNP:(Dicarboxylic acids)	3727362	229.10760498046875	96.379	54_2211_54
21	1	1	1	0.2797748416518406	-11.116067850757261	0.9999999999999999	37.63279087625255	C20H28O5	[M - H]-	NJEWNTGSXKRWKA	InChI=1S/C20H28O5/c1-10-8-20-9-11(10)4-5-12(20)18(2)7-6-13(21)19(3,17(24)25)15(18)14(20)16(22)23/h11-15,21H,1,4-9H2,2-3H3,(H,22,23)(H,24,25)	gibberellin 14	CC12CCC(C(C1C(C34C2CCC(C3)C(=C)C4)C(=O)O)(C)C(=O)O)O	3.0999999	443451;25244039	SuperNatural:(SN00265559);additional;Plantcyc:(CPD-6228);2304_LOTUS_DNP:(Gibberellins);COCONUT:(CNP0103215);KNApSAcK:(14);Natural Products:(UNPD160965);PubChem:(443451 25244039);CHEBI:(143961 29588);PubChem class - bio and metabolites;KEGG:(C11858);Training Set;Biocyc:(CPD-6228 CPDQT-515)	20629810	347.1851806640625	236.135	158_2211_158
22	1	4	4	0.27145326523935154	-259.69190478374253	0.9999999999999999	34.3359649843375	C28H44N4O4	[M - H]-	JXWBWMJQLBVLTR	InChI=1S/C28H44N4O4/c1-3-4-5-6-7-8-12-16-24(20-26(34)30-18-13-17-29-22(2)33)32-21-27(35)31-25(28(32)36)19-23-14-10-9-11-15-23/h9-11,14-15,24-25H,3-8,12-13,16-21H2,1-2H3,(H,29,33)(H,30,34)(H,31,35)	null	CCCCCCCCCC(CC(=O)NCCCNC(=O)C)N1CC(=O)NC(C1=O)CC2=CC=CC=C2	4.4000001	101254107	PubChem:(101254107);2304_LOTUS_DNP:(Lipopeptides)	2	499.3279113769531	221.9	145_2211_145
23	1	3	4	0.2675989543787995	-257.28948511051277	0.9527638190954775	30.46828411085404	C21H14N4O3	[M - H]-	WUGZRGKTGYDEPB	InChI=1S/C21H14N4O3/c1-2-11-28-21(27)16-17-19(23-14-9-5-4-8-13(14)22-17)25-15-10-6-3-7-12(15)20(26)24-18(16)25/h2-10H,1,11H2,(H,24,26)	null	C=CCOC(=O)C1=C2NC(=O)C3=CC=CC=C3N2C4=NC5=CC=CC=C5N=C14	3.0999999	5579935	COCONUT:(CNP0212054 CNP0309939);PubChem:(5579935);SuperNatural:(SN00075278);ZINC bio:(ZINC05789340)	3153922	369.09759521484375	127.012	81_2211_81
24	1	1	1	0.26258057852319644	-207.52604873514147	0.9999999999999999	25.220172363034237	C27H53NO5	[M - H]-	ATXQAVMKENAWNG	InChI=1S/C27H53NO5/c1-3-5-7-9-11-12-13-14-15-17-19-21-25(31)27(33)28-23(22-29)26(32)24(30)20-18-16-10-8-6-4-2/h8,10,23-26,29-32H,3-7,9,11-22H2,1-2H3,(H,28,33)	Cer 12:1;3O/15:0;(2OH)	CCCC=CCCCC(O)C(O)C(CO)NC(=O)C(O)CCCCCCCCCCCCC	6.632670734858059	""	""	0	470.384765625	461.206	498_2211_498
25	1	1	1	0.26074580016829413	-254.06534846449566	0.9939698492462312	24.502528678516672	C11H12N2O4	[M + Cl]-	UZGYKGBZSGOYCM	InChI=1S/C11H12N2O4/c1-6(14)12-8-3-4-9(11(16)17)10(5-8)13-7(2)15/h3-5H,1-2H3,(H,12,14)(H,13,15)(H,16,17)	Oprea1_223757	CC(=O)NC1=CC(=C(C=C1)C(=O)O)NC(=O)C	0.268078864	153454;6957689	COCONUT:(CNP0268823);Natural Products:(UNPD97968);PubChem:(153454 6957689);SuperNatural:(SN00342122);ZINC bio:(ZINC00608700);MeSH:(153454)	3186694	271.0496826171875	104.796	67_2211_67
26	3	1	1	0.26043583512178525	-326.1529519941213	0.0577889447236181	1.665887805059412	C19H21FN4O2	[M - H]-	FHRUHFWPCWVBQQ	InChI=1S/C19H21FN4O2/c20-15-7-5-14(6-8-15)9-10-21-18(26)13-24-17-4-2-1-3-16(17)23-19(24)22-11-12-25/h1-8,25H,9-13H2,(H,21,26)(H,22,23)	N-[2-(4-fluorophenyl)ethyl]-2-[2-(2-hydroxyethylamino)benzimidazol-1-yl]acetamide	C1=CC=C2C(=C1)N=C(N2CC(=O)NCCC3=CC=C(C=C3)F)NCCO	2.5999999	3958112	PubChem:(3958112);PubMed;CHEBI:(112258)	98	355.157958984375	374.311	353_2211_353
27	1	2	2	0.2579678282167517	-90.50559930115169	0.9999999999999999	14.517049928811918	C35H62O11	[M - H4O2 - H]-	QIUFBGKZPHXTFG	InChI=1S/C35H62O11/c1-31(2)23(39)10-12-32(3)22-15-19(37)25-18(9-13-33(25,4)34(22,5)16-20(38)29(31)32)35(6,14-11-24(43-7)44-8)46-30-28(42)27(41)26(40)21(17-36)45-30/h18-30,36-42H,9-17H2,1-8H3	Floralginsenoside Tb	CC1(C(CCC2(C1C(CC3(C2CC(C4C3(CCC4C(C)(CCC(OC)OC)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)O)C)O)C	2.5	46224642	COCONUT:(CNP0141694);Natural Products:(UNPD19000);PubChem:(46224642);SuperNatural:(SN00266106);PubMed;2304_LOTUS_DNP:(Cycloartane triterpenoids)	3178562	621.3983764648438	321.606	249_2211_249
28	1	1	1	0.2560247816339216	-452.08210624732527	0.9999999999999999	33.072005200812264	C31H46O7S	[M - H]-	UXUYFZSKUWTHRX	InChI=1S/C31H46O7S/c1-25(2)13-12-23(37-25)29(7)30(18-39(34,35)36)17-16-28(6)20-8-9-21-26(3,4)22(32)11-14-27(21,5)19(20)10-15-31(28,30)24(33)38-29/h8,10,21-23,32H,9,11-18H2,1-7H3,(H,34,35,36)	null	CC1(C)CCC(C2(C)OC(=O)C34CC=C5C(=CCC6C5(C)CCC(O)C6(C)C)C3(C)CCC24CS(=O)(=O)O)O1	4.5883135875590195	""	""	0	561.2882690429688	404.148	418_2211_418
29	1	1	1	0.25346375152407263	-321.909743470359	0.9999999999999999	27.952655086999286	C31H51NO6	[M - H]-	RUCKZVGRZSRWAR	InChI=1S/C31H51NO6/c1-3-5-15-29(35)30(36)20-18-25(17-16-24-11-7-6-8-12-24)26(22-28(34)23-33)13-9-10-14-27(32-4-2)19-21-31(37)38/h6-8,11-12,18,20,27-30,32-36H,3-5,9-10,13-17,19,21-23H2,1-2H3,(H,37,38)	null	CCCCC(C(C=CC(=C(CCCCC(CCC(=O)[O-])[NH2+]CC)CC(CO)O)CCC1=CC=CC=C1)O)O	0.0	""	COCONUT:(CNP0421464);SuperNatural:(SN00164944)	3145728	532.3641967773438	397.257	403_2211_403
30	1	1	4	0.25344225590970254	-46.91438706663019	0.03768844221105528	26.057012132954174	C28H52O12	[M - H]-	VNHFMAKRYDWMAF	InChI=1S/C28H52O12/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-20(30)37-17-19-22(32)24(34)26(36)28(39-19)40-27-25(35)23(33)21(31)18(16-29)38-27/h18-19,21-29,31-36H,2-17H2,1H3	alpha,alpha''-Trehalose 6-palmitate	CCCCCCCCCCCCCCCC(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O	3.20000005	440276;3347976;15071718;53484087;53484088;56675386;125037658;125037659;125037660;125037661;124202571	COCONUT:(CNP0045767);KEGG:(C04265);PubChem:(440276 3347976 15071718 53484087 53484088 56675386 125037658 125037659 125037660 125037661 124202571);SuperNatural:(SN00213243);PubMed	3146050	579.338623046875	232.866	153_2211_153
31	1	3	3	0.25223858675505434	-131.5785751698187	0.9999999999999999	19.678601702936803	C24H46O5	[M - H4O2 - H]-	BQNMPYGPOPCGOW	InChI=1S/C24H46O5/c1-2-3-4-5-8-13-20(25)14-9-6-7-10-15-21(23(27)28)22(26)16-19-24(29)17-11-12-18-24/h20-22,25-26,29H,2-19H2,1H3,(H,27,28)/p-1	null	CCCCCCCC(CCCCCCC(C(CCC1(CCCC1)O)O)C(=O)[O-])O	6.31532288	""	COCONUT:(CNP0095907 CNP0118729);SuperNatural:(SN00165406)	3145728	377.3055725097656	373.819	352_2211_352
32	1	3	3	0.2519907119039091	-4.5653772807911	0.9999999999999999	35.141236466468214	C18H36O3	[M - H]-	KIHBGTRZFAVZRV	InChI=1S/C18H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(19)18(20)21/h17,19H,2-16H2,1H3,(H,20,21)	2-Hydroxystearate	CCCCCCCCCCCCCCCCC(C(=O)O)O	7.5	69417;439885;439887;21993177;21145040;21145041	HMDB:(62549);SuperNatural:(SN00278187);MeSH:(69417);PubMed;2304_LOTUS_DNP:(α-hydroxystearic acid);NORMAN:(NS00014018);COCONUT:(CNP0286833 CNP0394156);Natural Products:(UNPD192500 UNPD156076);PubChem:(69417 439885 439887 21993177 21145040 21145041);YMDB Mine;CHEBI:(58386 18129 19660 76724 57562 15913);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C03045 C03042);Training Set;Biocyc:(S-2-HYDROXYSTEARATE R-2-HYDROXYSTEARATE)	51559844206	299.2589416503906	371.526	344_2211_344
33	1	2	2	0.2519611198664361	-28.03997839135298	0.9999999999999999	10.233307321605452	C15H28O4	[M - H2O - H]-	BTZVDPWKGXMQFW	InChI=1S/C15H28O4/c16-14(17)12-10-8-6-4-2-1-3-5-7-9-11-13-15(18)19/h1-13H2,(H,16,17)(H,18,19)	pentadecanedioate	C(CCCCCCC(=O)O)CCCCCCC(=O)O	4.40897942	160576;7506720	COCONUT:(CNP0043838 CNP0367985);Natural Products:(UNPD25805);PubChem:(160576 7506720);SuperNatural:(SN00011484);ZINC bio:(ZINC05113062);PubChem class - safety and toxic;PubMed;2304_LOTUS_DNP:(pentadecanedioic acid)	70295618	253.18055725097656	266.303	188_2211_188
34	1	4	4	0.2507052539887997	-11.508699683522948	0.9999999999999999	105.08676693386995	C18H30O4	[M - H]-	RCMABBHQYMBYKV	InChI=1S/C18H30O4/c1-2-3-7-11-16-17(22-16)14-13-15(19)10-8-5-4-6-9-12-18(20)21/h13-14,16-17H,2-12H2,1H3,(H,20,21)	trans-EKODE-(E)-Ib	CCCCCC1C(O1)C=CC(=O)CCCCCCCC(=O)O	4.0	5283007;24179381;24179382;51665989;51665991;53394018;56614657	COCONUT:(CNP0254173);HMDB:(13623);PubChem:(5283007 24179381 24179382 51665989 51665991 53394018 56614657);CHEBI:(89606);ZINC bio:(ZINC33820426 ZINC33820427 ZINC33820428 ZINC33820429);additional;PubChem class - bio and metabolites;MeSH:(5283007);Training Set;PubMed;KEGG Mine	8609357934	309.2070617675781	258.473	182_2211_182
35	1	2	2	0.24288367858764975	-413.4055472254344	0.9994974874371858	69.89564646346625	C28H36N4O5	[M + CH2O2 - H]-	WYVWTHZRFCANJT	InChI=1S/C28H36N4O5/c1-18(26(35)31-15-20-13-21(17-31)23-11-8-12-24(33)32(23)16-20)29-25(34)22(14-19-9-6-5-7-10-19)30-27(36)37-28(2,3)4/h5-12,18,20-22H,13-17H2,1-4H3,(H,29,34)(H,30,36)	null	CC(C(=O)N1CC2CC(C1)C3=CC=CC(=O)N3C2)NC(=O)C(CC4=CC=CC=C4)NC(=O)OC(C)(C)C	2.5999999	5581444;5221947;131664582	COCONUT:(CNP0384215);PubChem:(5581444 5221947 131664582);SuperNatural:(SN00062765);ZINC bio:(ZINC02152606)	3153922	553.266845703125	193.365	120_2211_120
36	3	1	2	0.242048519674427	-187.35635013158188	0.36733668341708536	25.79195570907131	C16H16N6O4	[M + Cl]-	HSRZBASZZKIRGI	InChI=1S/C16H16N6O4/c1-20-14-12(15(25)21(2)16(20)26)22(8-18-14)7-11(23)19-10-5-3-9(4-6-10)13(17)24/h3-6,8H,7H2,1-2H3,(H2,17,24)(H,19,23)	Oprea1_448700	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=CC=C(C=C3)C(=O)N	-0.106264867	1010652	COCONUT:(CNP0366822);PubChem:(1010652);SuperNatural:(SN00048237);ZINC bio:(ZINC00671043)	3153922	391.092041015625	98.781	58_2211_58
