feature_id	component_id	mz	msms_score	matched_peaks	reference_id	adduct	charge	ionmode	instrument	instrument_type	comment	inchikey	inchi	smiles	compound_name	Spectral_library_ID	Spectral_library	lib_name
258	1	309.20697021484375	0.8770346492783085	5	46034		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005744806; origin=GNPS	RCMABBHQYMBYKV-UHFFFAOYSA-N	1S/C18H30O4/c1-2-3-7-11-16-17(22-16)14-13-15(19)10-8-5-4-6-9-12-18(20)21/h13-14,16-17H,2-12H2,1H3,(H,20,21)	O=C(O)CCCCCCCC(=O)C=CC1OC1(CCCCC)	FA 18:3+2O	CCMSLIB00005744806	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
26	1	159.06520080566406	0.996980227978032	5	76579		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00006678822; origin=GNPS	WLJVNTCWHIRURA-UHFFFAOYSA-N	InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)	C(CCC(=O)O)CCC(=O)O	PIMELIC ACID	CCMSLIB00006678822	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
29	20	197.04473876953125	0.9684708400309784	8	34666		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010126078; origin=GNPS	JMSVCTWVEWCHDZ-UHFFFAOYSA-N	InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)	COc1cc(C(=O)O)cc(OC)c1O	SYRINGIC ACID CollisionEnergy:102040	CCMSLIB00010126078	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
31	1	163.03887939453125	0.9944751918086566	5	27624		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010108347; origin=GNPS	NGSWKAQJJWESNS-UHFFFAOYSA-N	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+	O=C(O)C=Cc1ccc(O)cc1	p-coumaric acid CollisionEnergy:102040	CCMSLIB00010108347	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
32	1	173.0808868408203	0.997521101585395	6	76918		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00006679718; origin=GNPS	TYFQFVWCELRYAO-UHFFFAOYSA-N	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	C(CCCC(=O)O)CCC(=O)O	SUBERIC ACID	CCMSLIB00006679718	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
33	5	195.06336975097656	0.9762515048898311	7	30032		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010114043; origin=GNPS	IPBVNPXQWQGGJP-UHFFFAOYSA-N	InChI=1S/C8H8O2/c1-7(9)10-8-5-3-2-4-6-8/h2-6H,1H3	CC(=O)Oc1ccccc1	PHENYL ACETATE CollisionEnergy:102040	CCMSLIB00010114043	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
37	-1	193.0497589111328	0.7764200147377821	7	28985		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010111587; origin=GNPS	KSEBMYQBYZTDHS-UHFFFAOYSA-N	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+	COc1cc(C=CC(=O)O)ccc1O	ferulic acid CollisionEnergy:102040	CCMSLIB00010111587	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
397	1	617.38427734375	0.9949241560445916	5	1074		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00005724910; origin=GNPS	MNUNUJQYFJZRHQ-UHFFFAOYSA-N	InChI=1S/C39H54O6/c1-23(2)25-14-19-39(34(43)44)21-20-37(6)26(33(25)39)10-12-30-36(5)17-16-31(35(3,4)29(36)15-18-38(30,37)7)45-32(42)13-9-24-8-11-27(40)28(41)22-24/h8-9,11,13,22,25-26,29-31,33,40-41H,1,10,12,14-21H2,2-7H3,(H,43,44)	CC(C)(C(CC1)C(C)(CC2)C(CC3)C1(C)C(C)(CC1)C3C(C(CC3)C(C)=C)C13C(O)=O)C2OC(/C=C/c(cc1)cc(O)c1O)=O	9-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)-icosahydro-1H-cyclopenta[a]chrysene-3a-carboxylic acid	CCMSLIB00005724910	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
44	1	261.1341247558594	0.9410512526658268	5	72841		-1	negative	ESI-QFT	N/A-ESI-QFT	DB#=CCMSLIB00004708020; origin=GNPS	BQRISQXLSXCXSC-UHFFFAOYSA-N	InChI=1S/C12H22O6/c13-8-10(14)9-18-12(17)7-5-3-1-2-4-6-11(15)16/h10,13-14H,1-9H2,(H,15,16)		9-(2,3-dihydroxypropoxy)-9-oxononanoic acid	CCMSLIB00004708020	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
47	1	187.09652709960935	0.9968401607802294	7	81096		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00006113479; origin=GNPS	BDJRBEYXGGNYIS-UHFFFAOYSA-N		C(CCCC(=O)O)CCCC(=O)O	Azelaic acid - 40.0 eV	CCMSLIB00006113479	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
58	1	173.11724853515625	0.6633945963655499	7	69448		-1	negative	ESI-QFT	N/A-ESI-QFT	DB#=CCMSLIB00004694349; origin=GNPS	OCDGBSUVYYVKQZ-UHFFFAOYSA-N	InChI=1S/C11H14N2/c1-13(2)8-9-7-12-11-6-4-3-5-10(9)11/h3-7,12H,8H2,1-2H3		Gramine	CCMSLIB00004694349	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
63	5	343.2125549316406	0.944292575814236	5	44531		-1	negative	qTof	ESI-qTof	DB#=CCMSLIB00005741931; origin=GNPS	BHWUKOCNOLCGLB-UHFFFAOYSA-N	1S/C18H32O6/c1-2-14(20)17-12-15(21)16(24-17)11-10-13(19)8-6-4-3-5-7-9-18(22)23/h10-11,13-17,19-21H,2-9,12H2,1H3,(H,22,23)	O=C(O)CCCCCCCC(O)C=CC1OC(CC1(O))C(O)CC	FA 18:2+4O	CCMSLIB00005741931	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
70	1	201.1123962402344	0.9960681878893036	7	83275		-1	negative	Orbitrap	ESI-Orbitrap	DB#=CCMSLIB00006118884; origin=GNPS	CXMXRPHRNRROMY-UHFFFAOYSA-N		C(CCCCC(=O)O)CCCC(=O)O	Sebacic acid - 40.0 eV	CCMSLIB00006118884	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
85	1	227.12841796875	0.9211945803650732	8	27756		-1	negative	Orbitrap	LC-ESI-Orbitrap	DB#=CCMSLIB00010108680; origin=GNPS	OIAVTFGRDNUKCM-UHFFFAOYSA-N	InChI=1S/C12H20O4/c1-10(13)6-2-3-7-11(14)8-4-5-9-12(15)16/h2-9H2,1H3,(H,15,16)	CC(=O)CCCCC(=O)CCCCC(=O)O	"""6,11-dioxododecanoic acid CollisionEnergy:102040"""	CCMSLIB00010108680	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
89	1	223.09698486328125	0.8880327651265388	10	4154		-1	negative	qTof	LC-ESI-qTof	DB#=CCMSLIB00005719010; origin=GNPS	SXFKFRRXJUJGSS-UHFFFAOYSA-N	InChI=1S/C12H16O4/c1-2-3-4-5-8-6-9(13)7-10(14)11(8)12(15)16/h6-7,13-14H,2-5H2,1H3,(H,15,16)	CCCCCc1cc(cc(c1C(=O)O)O)O	Olivetolcarboxylic acid	CCMSLIB00005719010	GNPS	/Users/nothiasl/git/enpkg_mn/db_spectra/ALL_GNPS.msp
